name;density;spg;volume;SiOSi_average;SiOSi_gmean;SiOSi_hmean;SiOSi_max;SiOSi_mean;SiOSi_min;SiOSi_skew;SiOSi_std;SiOSi_var;SiO_average;SiO_gmean;SiO_hmean;SiO_max;SiO_mean;SiO_min;SiO_skew;SiO_std;SiO_var;ASA;AV;NASA;NAV;VolFrac;largest_free_sphere;largest_included_sphere;largest_included_sphere_free;max_dim;min_dim;mode_dim
9000312;2.458185773;1;13.52926305;145.6252434;145.0233599;144.4311386;167.619743;145.6252434;125.2138387;0.29400541;13.3258082;177.5771643;1.602363481;1.602311697;1.602259817;1.619508587;1.602363481;1.578491168;-0.340343696;0.012870127;0.00016564;0;0;0;0;0;0.96309;2.19711;2.19711;0;0;[0]
9000313;1.994711017;1;16.67281208;153.8592884;153.4125046;152.97511;174.6720528;153.8592884;135.9166178;0.472995787;11.8418435;140.2292576;1.604273657;1.604267979;1.604262316;1.614096687;1.604273657;1.60045959;1.41438808;0.00427343;1.83E-05;0;0;0;0.00112298;0;2.22701;3.28798;3.26647;0;0;[0]
9000314;2.190153596;1;15.18498155;152.0042121;151.5521664;151.0946262;170.7736836;152.0042121;131.4607079;-0.171663109;11.64440331;135.5921284;1.607610456;1.607578021;1.607545615;1.626896287;1.607610456;1.589856586;0.229328847;0.010216829;0.000104384;0;0;0;0.00280347;0;2.54682;3.4939;3.4939;0;0;[0]
9000315;2.428351658;1;13.69548016;146.0666827;145.1244023;144.232599;177.5669926;146.0666827;122.2326259;0.804564505;17.02614372;289.88957;1.598855995;1.598831852;1.598807783;1.617331189;1.598855995;1.588492315;0.846711011;0.008800006;7.74E-05;0;0;0;1.65E-05;0;1.04478;2.73419;2.51138;0;0;[0]
9000316;2.49384208;1;13.33582516;142.9103421;141.9242431;140.9500882;173.3909087;142.9103421;118.1142344;0.185893863;16.84224872;283.661342;1.609986233;1.60991551;1.609844802;1.635226929;1.609986233;1.587624712;0.038488304;0.015091872;0.000227765;0;0;0;0;0;1.46149;2.30799;2.30799;0;0;[0]
9000317;2.48276173;1;13.39534178;139.8713648;139.5774061;139.2852969;156.6196094;139.8713648;125.4781427;0.184761713;9.091142628;82.64887429;1.611679622;1.611623617;1.611567564;1.627741697;1.611679622;1.590685325;-0.15787887;0.013429707;0.000180357;0;0;0;0;0;0.90291;1.91736;1.91736;0;0;[0]
9000318;2.810003529;1;11.83537373;145.8726418;144.968697;144.082551;176.5535818;145.8726418;121.8175857;0.322169203;16.36779733;267.9047896;1.62075387;1.620684576;1.620615291;1.644578481;1.62075387;1.596848116;0.023253232;0.014987803;0.000224634;0;0;0;0;0;0.44619;1.87054;1.78859;0;0;[0]
9000319;2.547477258;1;13.0550496;145.0148612;144.5088417;144.0143126;170.9044166;145.0148612;124.5455686;0.523560727;12.25217594;150.1158153;1.603777791;1.603714055;1.60365028;1.626553894;1.603777791;1.581530345;-0.099628782;0.014293523;0.000204305;0;0;0;0;0;0.81217;2.1262;2.1262;0;0;[0]
9000320;2.390821133;1;13.91046845;146.0073777;144.920555;143.8435883;172.7533984;146.0073777;119.5537213;0.121811317;17.83366391;318.0395685;1.605742799;1.605713478;1.605684052;1.617644812;1.605742799;1.585145981;-0.878433154;0.009686495;9.38E-05;0;0;0;0;0;1.02584;2.65898;2.53337;0;0;[0]
9000321;2.72168893;1;12.21941331;138.7212997;138.3046487;137.8988132;161.7513604;138.7212997;125.7164923;0.558899059;10.88450115;118.4723652;1.611190661;1.611153616;1.611116542;1.628193945;1.611190661;1.592956565;-0.170114943;0.010921396;0.000119277;0;0;0;0;0;0.69358;1.64994;1.64994;0;0;[0]
9000322;2.659084361;1;12.50710298;141.3729679;140.9854606;140.6143932;164.8928192;141.3729679;126.8379447;0.999905271;10.69846968;114.4572535;1.60742169;1.607373725;1.60732593;1.633393583;1.60742169;1.591930588;0.694452758;0.012439493;0.000154741;0;0;0;0;0;0.67966;1.46305;1.4496;0;0;[0]
9000323;2.099164751;1;15.84317855;148.4722278;147.6422823;146.8223132;176.810744;148.4722278;121.3974872;0.261923649;15.77562895;248.8704687;1.608121446;1.608099117;1.608076873;1.625785244;1.608121446;1.600255151;1.096458582;0.008490725;7.21E-05;0;0;0;0.000209608;0;1.78688;3.0417;3.0417;0;0;[0]
9000324;2.508156242;1;13.259717;139.4294561;139.1339864;138.8380044;154.4061218;139.4294561;125.3907862;-0.021071705;9.061454324;82.10995447;1.600655402;1.600615915;1.600576348;1.61579318;1.600655402;1.579261096;-0.427169493;0.011231782;0.000126153;0;0;0;0;0;0.99602;2.47945;2.47945;0;0;[0]
9000325;2.087856289;1;15.92899;150.4695913;150.0289276;149.5913789;169.7156078;150.4695913;130.5916141;0.176972212;11.54557231;133.30024;1.603835263;1.603778856;1.603722456;1.627882645;1.603835263;1.58154014;0.029383226;0.013451763;0.00018095;0;0.00486626;0;0;0.01016;2.87565;3.50643;3.50643;1;1;[1]
9000326;2.184350019;1;15.22532637;149.2819494;148.8126252;148.3566283;175.433849;149.2819494;131.1479483;0.6412191;12.00580659;144.1393919;1.607372845;1.607343901;1.607314941;1.621722545;1.607372845;1.59261264;-0.141871909;0.009643196;9.30E-05;0;0;0;0.000155654;0;1.33362;2.96306;2.96306;0;0;[0]
9000327;2.349504139;1;14.15508975;142.8727628;142.5528178;142.2481494;169.285412;142.8727628;131.4149711;1.204470626;9.799031157;96.02101161;1.613395414;1.613334755;1.613274166;1.632991298;1.613395414;1.595682657;0.195909719;0.013998077;0.000195946;0;0;0;0;0;0.96897;2.2865;1.64168;0;0;[0]
